track_id,track_name,danceability,energy,tempo,loudness,valence,speechiness,instrumentalness,liveness,acousticness
7mitXLIMCflkhZiD34uEQI,Party Rock Anthem,0.751,0.736,130.014,-4.168,0.352,0.156,0.0,0.265,0.0206
6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.667,0.83,113.03,-5.715,0.701,0.0749,0.0,0.191,0.0123
1jF7IL57ayN4Ity3jQqGu0,Try,0.673,0.629,103.998,-7.072,0.551,0.0299,0.0,0.0944,0.00141
3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,0.609,0.445,118.393,-9.129,0.166,0.106,6.77e-06,0.104,0.603
5TvE3pk05pyFIGdSY9j4DJ,Say Something,0.407,0.147,141.284,-8.822,0.0765,0.0355,2.89e-06,0.0913,0.857
14XWXWv5FoCbFzLksawpEe,Riders on the Storm,0.549,0.722,103.885,-11.729,0.716,0.0283,0.0138,0.11,0.25
44sw25l5s3dUQx38QQ4hix,Summertime,0.3,0.312,180.549,-13.886,0.394,0.0301,0.000179,0.124,0.106
1eujVQsT9v7ZTtvAkTEdZr,Piece Of My Heart,0.429,0.665,160.499,-9.681,0.543,0.14,0.00011,0.409,0.406
2KmEgiY8fQs0G6WNxtzQKr,Baba O'Riley,0.489,0.724,117.292,-8.367,0.15,0.0352,0.185,0.287,0.313
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,0.438,0.805,113.253,-6.237,0.564,0.0624,5.69e-05,0.0842,0.00255
5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,0.575,0.318,104.522,-16.729,0.385,0.109,0.000202,0.0934,0.683
6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,0.481,0.262,122.883,-15.73,0.375,0.0414,0.0114,0.832,0.735
4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",0.694,0.394,104.126,-15.881,0.719,0.0428,0.000677,0.247,0.0781
